ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_872,3,1,11,NA,NA,NA
Hyena_873,3,7,2,NA,NA,NA
Hyena_874,3,7,2,NA,NA,NA
Hyena_875,3,2,11,NA,NA,NA
Hyena_877,2,6,NA,NA,NA,NA
Hyena_878,3,9,4,NA,NA,NA
Hyena_879,3,7,5,NA,NA,NA
Hyena_881,3,3,5,NA,NA,NA
Hyena_882,3,1,7,NA,NA,NA
Hyena_883,3,3,11,NA,NA,NA
Hyena_884,3,10,11,NA,NA,NA
Hyena_885,3,10,11,NA,NA,NA
Hyena_886,3,12,3,NA,NA,NA
Hyena_887,3,3,7,NA,NA,NA
Hyena_888,3,8,3,NA,NA,NA
Hyena_889,3,8,3,NA,NA,NA
Hyena_890,3,3,7,NA,NA,NA
Hyena_894,3,5,5,NA,NA,NA
Hyena_896,3,7,5,NA,NA,NA
Hyena_898,3,4,4,NA,NA,NA
Hyena_899,3,1,4,NA,NA,NA
Hyena_900,3,2,11,NA,NA,NA
Hyena_902,3,3,12,NA,NA,NA
Hyena_903,3,6,1,NA,NA,NA
Hyena_905,3,10,1,NA,NA,NA
Hyena_906,3,5,1,NA,NA,NA
Hyena_907,3,11,3,NA,NA,NA
Hyena_908,3,4,4,NA,NA,NA
Hyena_909,3,4,4,NA,NA,NA
Hyena_910,3,1,5,NA,NA,NA
Hyena_911,3,7,12,NA,NA,NA
Hyena_912,3,2,16,NA,NA,NA
Hyena_913,3,2,5,NA,NA,NA
Hyena_914,3,5,5,NA,NA,NA
Hyena_915,3,5,5,NA,NA,NA
Hyena_916,3,1,5,NA,NA,NA
Hyena_917,3,1,5,NA,NA,NA
Hyena_918,3,9,9,NA,NA,NA
Hyena_919,3,9,5,NA,NA,NA
Hyena_922,3,11,16,NA,NA,NA
Hyena_923,4,12,5,6,NA,NA
Hyena_924,3,3,5,NA,NA,NA
Hyena_925,3,7,1,NA,NA,NA
Hyena_927,3,9,16,NA,NA,NA
Hyena_928,3,9,16,NA,NA,NA
Hyena_929,3,5,6,NA,NA,NA
Hyena_930,3,5,12,NA,NA,NA
Hyena_931,3,8,24,NA,NA,NA
